DATETIME, L_T1, L_T2, L_T3, L_T4, L_T5, L_T6, L_T7, F_PU1, S_PU1, F_PU2, S_PU2, F_PU3, S_PU3, F_PU4, S_PU4, F_PU5, S_PU5, F_PU6, S_PU6, F_PU7, S_PU7, F_PU8, S_PU8, F_PU9, S_PU9, F_PU10, S_PU10, F_PU11, S_PU11, F_V2, S_V2, P_J280, P_J269, P_J300, P_J256, P_J289, P_J415, P_J302, P_J306, P_J307, P_J317, P_J14, P_J422, ATT_FLAG
22/07/16 11, 4.01, 2.37, 3.31, 3.91, 1.62, 5.34, 2.03, 91.11, 1.00, 91.13, 1.00, 0.00, 0.00, 33.72, 1.00, 0.00, 0.00, 0.00, 0.00, 47.57, 1.00, 36.61, 1.00, 0.00, 0.00, 31.38, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.72, 22.38, 86.63, 22.44, 84.35, 22.94, 82.08, 22.83, 68.24, 41.18, 24.13, -999
22/07/16 12, 4.25, 1.51, 3.73, 3.98, 2.00, 5.50, 2.49, 91.60, 1.00, 91.62, 1.00, 0.00, 0.00, 32.40, 1.00, 0.00, 0.00, 0.00, 0.00, 47.61, 1.00, 36.42, 1.00, 0.00, 0.00, 30.16, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.46, 21.67, 88.03, 21.72, 83.56, 23.17, 82.65, 23.07, 72.56, 40.99, 23.39, -999
22/07/16 13, 4.45, 0.66, 4.19, 3.80, 2.43, 5.50, 3.32, 90.06, 1.00, 90.08, 1.00, 0.00, 0.00, 32.55, 1.00, 0.00, 0.00, 0.00, 0.00, 46.52, 1.00, 36.23, 1.00, 0.00, 0.00, 31.64, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 38.26, 20.93, 87.06, 20.98, 84.75, 23.68, 83.50, 23.56, 68.11, 41.90, 22.64, -999
22/07/16 14, 4.12, 0.61, 4.64, 4.13, 2.88, 5.50, 3.04, 119.67, 1.00, 0.00, 0.00, 0.00, 0.00, 34.85, 1.00, 0.00, 0.00, 0.00, 0.00, 47.78, 1.00, 34.76, 1.00, 0.00, 0.00, 30.23, 1.00, 0.00, 0.00, 86.81, 1.00, 2.99, 21.94, 25.05, 87.40, 25.12, 86.65, 18.88, 81.26, 18.77, 68.02, 28.01, 27.11, -999
22/07/16 15, 3.58, 0.64, 5.05, 4.56, 3.20, 5.50, 2.99, 118.29, 1.00, 0.00, 0.00, 0.00, 0.00, 34.19, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.01, 1.00, 0.00, 0.00, 30.03, 1.00, 0.00, 0.00, 80.51, 1.00, 2.99, 22.73, 27.01, 90.48, 27.11, 62.60, 19.64, 81.60, 19.54, 69.46, 29.55, 28.65, -999
22/07/16 16, 3.16, 1.18, 5.33, 2.94, 3.49, 5.50, 3.26, 118.86, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.56, 1.00, 34.57, 1.00, 0.00, 0.00, 29.63, 1.00, 0.00, 0.00, 79.93, 1.00, 2.99, 22.41, 26.71, 72.42, 26.67, 84.88, 19.46, 82.17, 19.35, 70.52, 29.24, 28.34, -999
22/07/16 17, 2.72, 1.49, 4.93, 3.12, 3.87, 5.50, 3.70, 119.85, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.66, 1.00, 34.02, 1.00, 0.00, 0.00, 29.30, 1.00, 0.00, 0.00, 74.15, 1.00, 2.99, 21.83, 26.79, 72.28, 26.75, 84.75, 19.01, 82.65, 18.91, 71.11, 29.28, 28.38, -999
22/07/16 18, 2.33, 1.77, 4.53, 3.22, 3.75, 5.50, 4.27, 118.54, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.49, 1.00, 0.00, 0.00, 0.00, 0.00, 31.19, 1.00, 0.00, 0.00, 77.97, 1.00, 2.99, 22.59, 27.22, 72.39, 27.18, 85.51, 25.91, 63.55, 25.80, 71.85, 29.74, 28.84, -999
22/07/16 19, 2.02, 2.06, 4.16, 3.47, 3.13, 5.50, 4.64, 118.30, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.84, 1.00, 0.00, 0.00, 0.00, 0.00, 30.89, 1.00, 0.00, 0.00, 76.78, 1.00, 2.99, 22.73, 27.45, 71.62, 27.41, 85.06, 26.03, 61.88, 25.92, 73.00, 29.96, 29.06, -999
22/07/16 20, 1.84, 2.36, 3.78, 3.54, 2.35, 5.25, 3.60, 117.47, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.14, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 78.46, 1.00, 2.99, 23.21, 27.81, 70.71, 27.76, 84.82, 29.04, 60.19, 29.04, 53.40, 30.33, 29.43, -999
22/07/16 21, 1.64, 2.63, 3.37, 3.50, 1.51, 5.06, 2.34, 120.21, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.78, 1.00, 35.15, 1.00, 0.00, 0.00, 30.53, 1.00, 0.00, 0.00, 63.47, 1.00, 2.99, 21.63, 27.61, 68.03, 27.56, 85.33, 18.11, 79.81, 18.00, 66.27, 30.04, 29.14, -999
22/07/16 22, 1.26, 2.76, 2.88, 3.63, 1.78, 5.14, 2.15, 121.60, 1.00, 0.00, 0.00, 0.00, 0.00, 36.18, 1.00, 0.00, 0.00, 0.00, 0.00, 49.95, 1.00, 34.98, 1.00, 0.00, 0.00, 30.33, 1.00, 0.00, 0.00, 60.52, 1.00, 2.99, 20.82, 26.63, 87.18, 26.70, 84.13, 17.29, 79.30, 17.18, 66.11, 29.49, 28.59, -999
22/07/16 23, 0.94, 2.56, 3.33, 3.36, 1.96, 5.22, 1.97, 99.21, 1.00, 99.23, 1.00, 0.00, 0.00, 36.32, 1.00, 0.00, 0.00, 0.00, 0.00, 49.69, 1.00, 35.24, 1.00, 0.00, 0.00, 30.73, 1.00, 0.00, 0.00, 78.26, 1.00, 2.97, 33.39, 26.88, 86.68, 26.96, 84.89, 18.69, 80.26, 18.58, 66.21, 29.84, 28.94, -999
23/07/16 00, 0.79, 2.48, 3.74, 3.44, 2.22, 5.29, 1.81, 98.16, 1.00, 98.18, 1.00, 0.00, 0.00, 35.67, 1.00, 0.00, 0.00, 0.00, 0.00, 49.63, 1.00, 35.00, 1.00, 0.00, 0.00, 30.64, 1.00, 0.00, 0.00, 82.38, 1.00, 2.97, 33.96, 26.86, 87.79, 26.93, 84.99, 19.23, 81.20, 19.12, 67.05, 29.83, 28.93, -999
23/07/16 01, 0.73, 2.45, 4.18, 3.53, 2.59, 5.45, 2.01, 97.74, 1.00, 97.76, 1.00, 0.00, 0.00, 33.59, 1.00, 0.00, 0.00, 0.00, 0.00, 48.68, 1.00, 34.29, 1.00, 0.00, 0.00, 30.37, 1.00, 0.00, 0.00, 83.93, 1.00, 2.97, 34.19, 26.88, 91.35, 26.94, 86.81, 19.60, 82.79, 19.49, 68.30, 29.82, 28.92, -999
23/07/16 02, 0.72, 2.46, 4.72, 4.00, 3.16, 5.50, 2.71, 97.73, 1.00, 97.75, 1.00, 0.00, 0.00, 33.52, 1.00, 0.00, 0.00, 0.00, 0.00, 48.02, 1.00, 34.15, 1.00, 0.00, 0.00, 29.03, 1.00, 0.00, 0.00, 83.80, 1.00, 2.97, 34.19, 26.91, 91.49, 26.97, 88.06, 19.96, 83.37, 19.86, 72.92, 29.84, 28.94, -999
23/07/16 03, 0.73, 2.57, 5.26, 4.30, 3.74, 5.50, 3.64, 97.37, 1.00, 97.39, 1.00, 0.00, 0.00, 33.41, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 33.89, 1.00, 0.00, 0.00, 28.80, 1.00, 0.00, 0.00, 74.55, 1.00, 2.97, 34.38, 28.64, 93.41, 28.74, 67.86, 20.17, 84.00, 20.07, 73.82, 31.14, 30.24, -999
23/07/16 04, 0.88, 3.23, 5.08, 3.29, 3.80, 5.50, 4.66, 95.41, 1.00, 95.43, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29.79, 1.00, 0.00, 0.00, 66.07, 1.00, 2.98, 35.44, 31.25, 76.35, 31.25, 68.00, 27.30, 64.63, 27.20, 77.87, 33.52, 32.62, -999
23/07/16 05, 1.20, 3.78, 4.87, 3.28, 3.38, 5.33, 4.15, 95.73, 1.00, 95.75, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.58, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 81.00, 1.00, 2.98, 35.26, 29.36, 75.27, 29.32, 87.47, 29.84, 63.83, 29.84, 59.18, 31.89, 30.99, -999
23/07/16 06, 1.49, 4.11, 4.62, 3.81, 2.87, 5.01, 2.78, 95.72, 1.00, 95.74, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.15, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 79.44, 1.00, 2.98, 35.27, 29.64, 74.68, 29.60, 88.58, 30.00, 63.13, 30.00, 57.98, 32.16, 31.26, -999
23/07/16 07, 1.66, 4.40, 4.35, 4.45, 2.33, 5.16, 2.91, 96.33, 1.00, 96.35, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.47, 1.00, 0.00, 0.00, 0.00, 0.00, 31.92, 1.00, 0.00, 0.00, 74.48, 1.00, 2.98, 34.94, 29.72, 73.03, 29.68, 88.04, 26.96, 61.78, 26.84, 70.41, 32.21, 31.31, -999
23/07/16 08, 1.86, 4.99, 4.01, 3.42, 1.65, 5.49, 3.60, 95.82, 1.00, 95.84, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.13, 1.00, 0.00, 0.00, 56.77, 1.00, 2.98, 35.22, 32.27, 71.65, 32.27, 62.69, 27.26, 61.11, 27.14, 69.96, 34.49, 33.59, -999
23/07/16 09, 1.88, 5.28, 3.63, 3.16, 1.87, 5.50, 4.20, 97.06, 1.00, 97.08, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.13, 1.00, 35.28, 1.00, 0.00, 0.00, 30.58, 1.00, 0.00, 0.00, 65.76, 1.00, 2.97, 34.55, 30.31, 70.24, 30.27, 87.34, 20.14, 81.62, 20.03, 68.15, 32.76, 31.86, -999
23/07/16 10, 1.83, 5.44, 3.21, 3.65, 2.30, 5.50, 3.89, 97.50, 1.00, 97.52, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.97, 1.00, 35.47, 1.00, 0.00, 0.00, 30.50, 1.00, 0.00, 0.00, 62.91, 1.00, 2.97, 34.31, 30.38, 69.79, 30.34, 85.76, 19.88, 81.04, 19.77, 68.14, 32.82, 31.92, -999
23/07/16 11, 1.89, 5.06, 3.22, 3.68, 2.59, 5.50, 3.65, 93.75, 1.00, 93.77, 1.00, 0.00, 0.00, 34.45, 1.00, 0.00, 0.00, 0.00, 0.00, 48.63, 1.00, 35.60, 1.00, 0.00, 0.00, 30.34, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.32, 24.86, 87.89, 24.93, 84.88, 21.26, 82.19, 21.15, 70.05, 39.10, 26.63, -999
23/07/16 12, 2.12, 4.18, 3.68, 3.80, 2.97, 5.50, 3.89, 93.88, 1.00, 93.90, 1.00, 0.00, 0.00, 34.06, 1.00, 0.00, 0.00, 0.00, 0.00, 48.41, 1.00, 35.38, 1.00, 0.00, 0.00, 30.43, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.25, 24.06, 87.74, 24.12, 84.49, 21.33, 82.65, 21.22, 69.82, 39.10, 25.82, -999
23/07/16 13, 2.34, 3.31, 4.12, 3.82, 3.39, 5.50, 4.02, 93.20, 1.00, 93.22, 1.00, 0.00, 0.00, 33.51, 1.00, 0.00, 0.00, 0.00, 0.00, 47.95, 1.00, 35.30, 1.00, 0.00, 0.00, 30.00, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.61, 23.30, 87.89, 23.36, 84.57, 21.89, 83.34, 21.78, 71.80, 39.55, 25.05, -999
23/07/16 14, 2.58, 2.45, 4.56, 3.92, 3.84, 5.50, 4.53, 92.20, 1.00, 92.21, 1.00, 0.00, 0.00, 32.39, 1.00, 0.00, 0.00, 0.00, 0.00, 47.48, 1.00, 35.01, 1.00, 0.00, 0.00, 29.60, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.14, 22.62, 89.01, 22.68, 84.74, 22.67, 84.62, 22.57, 73.84, 40.20, 24.35, -999
23/07/16 15, 3.02, 1.60, 5.03, 4.08, 3.59, 5.35, 4.21, 89.25, 1.00, 89.27, 1.00, 0.00, 0.00, 32.15, 1.00, 0.00, 0.00, 0.00, 0.00, 46.97, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.98, 38.69, 21.86, 88.61, 21.92, 84.89, 33.99, 63.16, 33.99, 58.18, 42.79, 23.58, -999
23/07/16 16, 3.54, 0.89, 5.17, 4.30, 2.93, 4.98, 2.59, 88.41, 1.00, 88.43, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 47.70, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.98, 39.13, 24.07, 71.97, 24.03, 85.69, 34.60, 62.80, 34.60, 55.16, 43.42, 25.43, -999
23/07/16 17, 3.87, 0.63, 4.76, 4.56, 2.32, 5.03, 2.24, 95.12, 1.00, 95.14, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.90, 1.00, 0.00, 0.00, 83.03, 1.00, 2.98, 35.59, 30.24, 73.10, 30.24, 64.50, 28.54, 61.30, 28.41, 68.44, 32.60, 31.70, -999
23/07/16 18, 3.88, 1.49, 4.40, 3.13, 1.57, 5.26, 2.50, 94.80, 1.00, 94.82, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.75, 1.00, 0.00, 0.00, 79.96, 1.00, 2.98, 35.76, 30.79, 72.46, 30.79, 65.25, 28.66, 60.94, 28.54, 69.12, 33.14, 32.24, -999
23/07/16 19, 3.72, 2.01, 4.04, 3.42, 1.91, 5.48, 2.80, 96.00, 1.00, 96.02, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.84, 1.00, 35.92, 1.00, 0.00, 0.00, 31.11, 1.00, 0.00, 0.00, 92.00, 1.00, 2.98, 35.12, 28.14, 70.97, 28.10, 85.75, 21.23, 81.59, 21.12, 67.47, 30.74, 29.84, -999
23/07/16 20, 3.55, 2.44, 3.63, 3.65, 2.27, 5.50, 2.97, 96.23, 1.00, 96.25, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.05, 1.00, 35.85, 1.00, 0.00, 0.00, 30.98, 1.00, 0.00, 0.00, 88.94, 1.00, 2.98, 35.00, 28.39, 70.50, 28.35, 85.59, 21.09, 81.59, 20.98, 67.76, 30.98, 30.08, -999
23/07/16 21, 3.37, 2.85, 3.22, 3.77, 2.59, 5.50, 2.80, 96.93, 1.00, 96.95, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.98, 1.00, 35.55, 1.00, 0.00, 0.00, 31.17, 1.00, 0.00, 0.00, 84.39, 1.00, 2.98, 34.62, 28.56, 69.15, 28.52, 85.90, 20.66, 81.68, 20.54, 66.68, 31.12, 30.22, -999
23/07/16 22, 3.16, 3.12, 3.00, 3.94, 2.92, 5.50, 2.41, 97.46, 1.00, 97.48, 1.00, 0.00, 0.00, 36.79, 1.00, 0.00, 0.00, 0.00, 0.00, 50.25, 1.00, 35.60, 1.00, 0.00, 0.00, 31.09, 1.00, 0.00, 0.00, 86.29, 1.00, 2.97, 34.34, 27.48, 86.42, 27.56, 84.42, 20.29, 81.22, 20.17, 66.60, 30.50, 29.60, -999
23/07/16 23, 2.93, 3.11, 3.41, 3.62, 3.14, 5.50, 2.09, 97.34, 1.00, 97.36, 1.00, 0.00, 0.00, 36.24, 1.00, 0.00, 0.00, 0.00, 0.00, 50.11, 1.00, 35.46, 1.00, 0.00, 0.00, 30.69, 1.00, 0.00, 0.00, 86.41, 1.00, 2.97, 34.40, 27.48, 87.41, 27.56, 84.69, 20.42, 81.61, 20.31, 68.08, 30.49, 29.59, -999
24/07/16 00, 2.73, 3.10, 3.85, 3.52, 3.39, 5.50, 2.21, 95.95, 1.00, 95.97, 1.00, 0.00, 0.00, 34.41, 1.00, 0.00, 0.00, 0.00, 0.00, 49.51, 1.00, 34.98, 1.00, 0.00, 0.00, 30.17, 1.00, 0.00, 0.00, 91.17, 1.00, 2.98, 35.15, 27.57, 90.68, 27.63, 85.93, 21.32, 83.34, 21.22, 70.67, 30.57, 29.67, -999
24/07/16 01, 2.65, 3.18, 4.37, 3.79, 3.87, 5.50, 2.81, 95.74, 1.00, 95.75, 1.00, 0.00, 0.00, 33.60, 1.00, 0.00, 0.00, 0.00, 0.00, 48.44, 1.00, 34.36, 1.00, 0.00, 0.00, 29.41, 1.00, 0.00, 0.00, 91.08, 1.00, 2.98, 35.26, 27.69, 92.13, 27.75, 88.06, 21.71, 84.76, 21.61, 73.49, 30.67, 29.77, -999
24/07/16 02, 2.72, 3.29, 4.93, 4.42, 3.62, 5.50, 3.87, 95.42, 1.00, 95.44, 1.00, 0.00, 0.00, 33.24, 1.00, 0.00, 0.00, 0.00, 0.00, 48.09, 1.00, 0.00, 0.00, 0.00, 0.00, 30.44, 1.00, 0.00, 0.00, 92.20, 1.00, 2.98, 35.43, 27.84, 92.88, 27.90, 88.86, 28.09, 64.24, 27.98, 76.55, 30.81, 29.91, -999
24/07/16 03, 2.87, 3.83, 5.21, 3.68, 3.15, 5.49, 4.97, 92.39, 1.00, 92.40, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 75.76, 1.00, 2.98, 37.04, 32.72, 76.39, 32.72, 69.82, 32.10, 64.36, 32.10, 61.60, 35.04, 34.14, -999
24/07/16 04, 3.23, 4.63, 5.00, 3.10, 2.83, 5.30, 4.08, 92.04, 1.00, 92.06, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 73.46, 1.00, 2.98, 37.23, 33.30, 76.59, 33.30, 68.50, 32.44, 63.93, 32.44, 60.80, 35.61, 34.71, -999
24/07/16 05, 3.54, 5.10, 4.82, 3.80, 2.47, 5.07, 3.20, 92.58, 1.00, 92.60, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.69, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 87.40, 1.00, 2.98, 36.94, 31.04, 76.33, 31.00, 90.85, 32.27, 63.64, 32.27, 59.69, 33.61, 32.71, -999
24/07/16 06, 3.80, 5.50, 4.64, 4.69, 2.14, 4.99, 2.79, 92.64, 1.00, 92.66, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.20, 1.00, 0.00, 0.00, 66.80, 1.00, 2.98, 36.91, 33.58, 75.71, 33.58, 69.28, 29.57, 62.94, 29.45, 72.03, 35.85, 34.95, -999
24/07/16 07, 4.22, 5.65, 4.42, 3.83, 1.71, 5.40, 3.81, 87.95, 1.00, 87.97, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32.81, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 39.37, 30.65, 74.69, 30.65, 67.01, 31.90, 62.11, 31.77, 72.16, 43.46, 31.84, -999
24/07/16 08, 4.52, 5.53, 4.16, 3.13, 1.78, 5.50, 4.82, 111.80, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.66, 1.00, 37.97, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.99, 26.44, 28.57, 72.75, 28.53, 86.54, 28.68, 85.21, 28.68, 59.36, 38.93, 29.94, -999
24/07/16 09, 4.57, 5.01, 3.82, 3.54, 2.35, 5.17, 3.29, 112.14, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.03, 1.00, 38.21, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.99, 26.25, 28.02, 71.40, 27.98, 85.25, 28.56, 84.65, 28.56, 54.51, 38.82, 29.39, -999
24/07/16 10, 4.52, 4.48, 3.44, 3.62, 2.75, 4.99, 2.15, 113.18, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.87, 1.00, 35.92, 1.00, 0.00, 0.00, 31.35, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.66, 27.50, 70.53, 27.46, 85.06, 21.98, 82.35, 21.87, 67.41, 38.24, 28.87, -999
24/07/16 11, 4.36, 3.95, 3.03, 3.65, 3.10, 5.18, 2.31, 113.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.45, 1.00, 35.75, 1.00, 0.00, 0.00, 31.38, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.76, 27.00, 69.68, 26.96, 85.37, 22.07, 82.73, 21.95, 67.36, 38.28, 28.37, -999
24/07/16 12, 4.23, 3.10, 3.39, 3.75, 3.47, 5.35, 2.41, 113.15, 1.00, 0.00, 0.00, 0.00, 0.00, 34.51, 1.00, 0.00, 0.00, 0.00, 0.00, 47.98, 1.00, 35.76, 1.00, 0.00, 0.00, 31.52, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.68, 22.98, 85.91, 23.04, 84.20, 21.92, 82.57, 21.80, 66.73, 38.17, 24.74, -999
24/07/16 13, 4.10, 2.23, 3.78, 3.77, 3.78, 5.43, 2.21, 113.87, 1.00, 0.00, 0.00, 0.00, 0.00, 33.88, 1.00, 0.00, 0.00, 0.00, 0.00, 47.68, 1.00, 35.39, 1.00, 0.00, 0.00, 31.35, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.27, 22.21, 86.19, 22.27, 83.97, 21.66, 82.96, 21.55, 67.08, 37.81, 23.96, -999
24/07/16 14, 3.99, 1.37, 4.17, 3.76, 3.71, 5.50, 2.34, 113.37, 1.00, 0.00, 0.00, 0.00, 0.00, 33.11, 1.00, 0.00, 0.00, 0.00, 0.00, 46.97, 1.00, 0.00, 0.00, 0.00, 0.00, 32.30, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.55, 21.52, 86.75, 21.58, 84.56, 28.69, 62.31, 28.57, 70.76, 38.13, 23.25, -999
24/07/16 15, 3.99, 0.52, 4.58, 3.97, 2.90, 5.50, 2.75, 113.60, 1.00, 0.00, 0.00, 0.00, 0.00, 32.73, 1.00, 0.00, 0.00, 0.00, 0.00, 47.24, 1.00, 0.00, 0.00, 0.00, 0.00, 32.48, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.42, 20.68, 86.53, 20.74, 83.23, 28.60, 61.76, 28.47, 70.05, 38.04, 22.41, -999
24/07/16 16, 3.56, 0.60, 5.00, 3.80, 2.14, 5.50, 2.91, 118.72, 1.00, 0.00, 0.00, 0.00, 0.00, 34.88, 1.00, 0.00, 0.00, 0.00, 0.00, 49.10, 1.00, 0.00, 0.00, 0.00, 0.00, 32.14, 1.00, 0.00, 0.00, 91.67, 1.00, 2.99, 22.49, 25.07, 87.37, 25.13, 84.21, 25.89, 59.93, 25.77, 68.55, 28.07, 27.17, -999
24/07/16 17, 3.11, 0.73, 5.19, 3.66, 1.51, 5.50, 2.78, 120.61, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.66, 1.00, 35.29, 1.00, 0.00, 0.00, 30.43, 1.00, 0.00, 0.00, 76.33, 1.00, 2.99, 21.39, 26.11, 69.29, 26.07, 84.06, 17.99, 79.46, 17.88, 66.49, 28.61, 27.71, -999
24/07/16 18, 2.60, 1.00, 4.69, 3.41, 1.71, 5.50, 2.41, 120.73, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.76, 1.00, 35.08, 1.00, 0.00, 0.00, 30.42, 1.00, 0.00, 0.00, 73.84, 1.00, 2.99, 21.33, 26.28, 70.92, 26.24, 84.04, 17.92, 79.75, 17.81, 66.43, 28.77, 27.87, -999
24/07/16 19, 2.12, 1.24, 4.26, 3.23, 1.95, 5.50, 2.12, 120.98, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.86, 1.00, 34.83, 1.00, 0.00, 0.00, 30.17, 1.00, 0.00, 0.00, 70.89, 1.00, 2.99, 21.18, 26.42, 68.82, 26.38, 83.99, 17.84, 80.10, 17.73, 67.17, 28.89, 27.99, -999
24/07/16 20, 1.66, 1.45, 3.77, 3.07, 2.23, 5.50, 2.09, 121.45, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.51, 1.00, 34.62, 1.00, 0.00, 0.00, 30.39, 1.00, 0.00, 0.00, 66.99, 1.00, 2.99, 20.91, 26.52, 68.97, 26.48, 84.78, 17.50, 80.12, 17.39, 66.13, 28.98, 28.08, -999
24/07/16 21, 1.22, 1.62, 3.30, 3.21, 2.50, 5.50, 1.81, 121.85, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.96, 1.00, 34.57, 1.00, 0.00, 0.00, 30.33, 1.00, 0.00, 0.00, 63.54, 1.00, 2.99, 20.67, 26.60, 69.44, 26.56, 83.97, 17.23, 79.94, 17.12, 66.05, 29.04, 28.14, -999
24/07/16 22, 0.87, 1.71, 3.13, 3.04, 2.72, 5.50, 1.68, 99.17, 1.00, 99.19, 1.00, 0.00, 0.00, 35.53, 1.00, 0.00, 0.00, 0.00, 0.00, 49.42, 1.00, 34.60, 1.00, 0.00, 0.00, 30.18, 1.00, 0.00, 0.00, 84.31, 1.00, 2.97, 33.41, 26.10, 87.28, 26.17, 84.63, 19.00, 81.65, 18.89, 68.31, 29.08, 28.18, -999
